S,delta
0,-0.9999937428937755
0.8333333333333334,-0.999996815760835
1.666666666666667,-0.9999999418022127
2.5,-0.9999999973176386
3.333333333333333,-0.9999999998142698
4.166666666666667,-0.9999999999833846
5,-0.9999999999982719
5.833333333333334,-0.9999999999998579
6.666666666666667,-0.9999999999999432
7.5,-0.9999999999999005
8.333333333333334,-0.9999999999999687
9.166666666666668,-0.9999999999999432
10,-1.000000000000062
10.83333333333333,-0.9999999999999772
11.66666666666667,-0.999999999999892
12.5,-0.9999999999999772
13.33333333333333,-1.000000000000011
14.16666666666667,-1.000000000000037
15,-1.000000000000011
15.83333333333333,-0.9999999999999687
16.66666666666667,-1.000000000000037
17.5,-1.000000000000046
18.33333333333334,-1.000000000000011
19.16666666666667,-1.000000000000003
20,-1.000000000000003
20.83333333333334,-1.000000000000028
21.66666666666667,-1.000000000000011
22.5,-1.000000000000046
23.33333333333334,-1.000000000000079
24.16666666666667,-1.000000000000028
25,-0.9999999999999942
25.83333333333334,-0.9999999999999942
26.66666666666667,-1.00000000000002
27.5,-1.000000000000011
28.33333333333334,-0.999999999999909
29.16666666666667,-0.9999999999997384
30,-0.9999999999993633
30.83333333333334,-0.9999999999985106
31.66666666666667,-0.9999999999965155
32.5,-0.9999999999922181
33.33333333333334,-0.9999999999833846
34.16666666666667,-0.9999999999654363
35,-0.9999999999298467
35.83333333333334,-0.9999999998609439
36.66666666666667,-0.9999999997307526
37.5,-0.9999999994902878
38.33333333333334,-0.999999999055538
39.16666666666667,-0.9999999982854575
40,-0.9999999969480484
40.83333333333334,-0.9999999946688263
41.66666666666667,-0.9999999908540218
42.5,-0.999999984578568
43.33333333333334,-0.9999999744252818
44.16666666666667,-0.9999999582574531
45,-0.9999999329028441
45.83333333333334,-0.9999998937209511
46.66666666666667,-0.9999998340192633
47.5,-0.9999997442770336
48.33333333333334,-0.9999996111268814
49.16666666666667,-0.9999994160367804
50,-0.9999991336261927
50.83333333333334,-0.9999987295412353
51.66666666666667,-0.9999981578060471
52.5,-0.9999973575600251
53.33333333333334,-0.9999962490843586
54.16666666666667,-0.9999947290175043
55,-0.9999926646564403
55.83333333333334,-0.9999898872416878
56.66666666666667,-0.9999861841279341
57.5,-0.9999812897493654
58.33333333333334,-0.999974875300208
59.16666666666667,-0.9999665370662881
60,-0.9999557833632422
60.83333333333334,-0.9999420200605698
61.66666666666667,-0.99992453469807
62.5,-0.9999024792328441
63.33333333333334,-0.9998748514888433
64.16666666666667,-0.9998404754174458
65,-0.9997979803160688
65.83333333333334,-0.9997457791903854
66.66666666666667,-0.999682046484284
67.5,-0.9996046954390948
68.33333333333334,-0.999511355378874
69.16666666666667,-0.9993993492494297
70,-0.9992656717667955
70.83333333333334,-0.9991069685525644
71.66666666666667,-0.9989195166488457
72.5,-0.9986992068156126
73.33333333333334,-0.9984415280144616
74.16666666666667,-0.9981415544771024
75,-0.9977939357430656
75.83333333333334,-0.9973928900302965
76.66666666666667,-0.9969322012725157
77.5,-0.9964052201212638
78.33333333333334,-0.9958048691681597
79.16666666666667,-0.9951236525933452
80,-0.99435367039259
80.83333333333334,-0.9934866372778202
81.66666666666667,-0.9925139062845858
82.5,-0.9914264970568225
83.33333333333334,-0.9902151287161075
84.16666666666667,-0.9888702571589959
85,-0.9873821165641459
85.83333333333334,-0.9857407648320105
86.66666666666667,-0.9839361326239767
87.5,-0.9819580756169927
88.33333333333334,-0.9797964295439768
89.16666666666667,-0.9774410675506089
90,-0.9748819593661437
90.83333333333334,-0.9721092317598958
91.66666666666667,-0.9691132297364958
92.5,-0.9658845779118734
93.33333333333334,-0.9624142415082559
94.16666666666667,-0.9586935864102685
95,-0.9547144377353376
95.83333333333334,-0.9504691363891893
96.66666666666667,-0.9459505931012344
97.5,-0.9411523394647006
98.33333333333334,-0.9360685755415303
99.16666666666667,-0.9306942136315044
100,-0.9250249178486853
100.8333333333333,-0.9190571391949689
101.6666666666667,-0.9127881458692314
102.5,-0.9062160486013524
103.3333333333333,-0.8993398208518855
104.1666666666667,-0.8921593137695609
105,-0.8846752658503462
105.8333333333333,-0.8768893072915261
106.6666666666667,-0.8688039590828133
107.5,-0.860422626922785
108.3333333333333,-0.8517495900921581
109.1666666666667,-0.8427899854562013
110,-0.8335497868055568
110.8333333333333,-0.8240357797781982
111.6666666666667,-0.8142555326347632
112.5,-0.8042173631853089
113.3333333333333,-0.7939303021870244
114.1666666666667,-0.7834040535498928
115,-0.7726489517007706
115.8333333333333,-0.761675916465964
116.6666666666667,-0.7504964058379094
117.5,-0.7391223669936167
118.3333333333333,-0.7275661859312414
119.1666666666667,-0.7158406360861065
120,-0.7039588262801352
120.8333333333333,-0.6919341483480217
121.6666666666667,-0.6797802247706606
122.5,-0.6675108566313213
123.3333333333333,-0.6551399721930202
124.1666666666667,-0.6426815763771891
125,-0.6301497014037473
125.8333333333333,-0.6175583588319921
126.6666666666667,-0.6049214932200044
127.5,-0.592252937598191
128.3333333333333,-0.5795663709302509
129.1666666666667,-0.5668752777124336
130,-0.5541929098397048
130.8333333333333,-0.5415322508455365
131.6666666666667,-0.5289059826008365
132.5,-0.5163264545367671
133.3333333333333,-0.5038056554363376
134.1666666666667,-0.4913551878209141
135,-0.4789862449398171
135.8333333333333,-0.4667095903543689
136.6666666666667,-0.4545355400922592
137.5,-0.4424739473337148
138.3333333333333,-0.4305341895776646
139.1666666666667,-0.4187251582244307
140,-0.4070552505005807
140.8333333333333,-0.3955323636424779
141.6666666666667,-0.3841638912466255
142.5,-0.3729567216881534
143.3333333333333,-0.3619172385028993
144.1666666666667,-0.3510513226238015
145,-0.3403643563588817
145.8333333333333,-0.3298612289951968
146.6666666666667,-0.3195463439117661
147.5,-0.3094236270834393
148.3333333333333,-0.2994965368578977
149.1666666666667,-0.2897680748886362
150,-0.2802407981083549
150.8333333333333,-0.2709168316291674
151.6666666666667,-0.2617978824587778
152.5,-0.2528852539249051
153.3333333333333,-0.2441798607037507
154.1666666666667,-0.235682244352294
155,-0.2273925892484241
155.8333333333333,-0.2193107388474251
156.6666666666667,-0.2114362121680257
157.5,-0.2037682204260875
158.3333333333333,-0.1963056837389764
159.1666666666667,-0.1890472478286687
160,-0.1819913006567337
160.8333333333333,-0.1751359889293465
161.6666666666667,-0.168479234415499
162.5,-0.1620187500265335
163.3333333333333,-0.1557520556099197
164.1666666666667,-0.1496764934149497
165,-0.1437892431925767
165.8333333333333,-0.1380873368960557
166.6666666666667,-0.1325676729533021
167.5,-0.1272270300859414
168.3333333333333,-0.122062080653902
169.1666666666667,-0.1170694035080888
170,-0.1122454963371474
170.8333333333333,-0.1075867874975901
171.6666666666667,-0.1030896473196249
172.5,-0.09875039888387138
173.3333333333333,-0.09456532826679655
174.1666666666667,-0.09053069425514172
175,-0.08664273753185152
175.8333333333333,-0.08289768933805908
176.6666666666667,-0.07929177961753306
177.5,-0.07582124465166763
178.3333333333333,-0.07248233419458562
179.1666666666667,-0.06927131811924818
180,-0.06618449258662089
180.8333333333333,-0.0632181857509639
181.6666666666667,-0.06036876301516977
182.5,-0.05763263185079248
183.3333333333333,-0.05500624619801055
184.1666666666667,-0.05248611046124693
185,-0.05006878311651956
185.8333333333333,-0.04775087994685858
186.6666666666667,-0.04552907692229537
187.5,-0.04340011274099109
188.3333333333333,-0.04136079104807069
189.1666666666667,-0.03940798234864786
190,-0.03753862563137609
190.8333333333333,-0.03574972971865768
191.6666666666667,-0.03403837435938299
192.5,-0.03240171107975911
193.3333333333333,-0.03083696380744642
194.1666666666667,-0.02934142928383612
195,-0.02791247727888142
195.8333333333333,-0.02654755062246185
196.6666666666667,-0.02524416506579558
197.5,-0.02399990898593483
198.3333333333333,-0.02281244294588883
199.1666666666667,-0.02167949912241723
200,-0.02059888061302818
200.8333333333333,-0.01956846063320108
201.6666666666667,-0.01858618161434702
202.5,-0.0176500542125049
203.3333333333333,-0.01675815623726403
204.1666666666667,-0.0159086315099065
205,-0.01509968865926614
205.8333333333333,-0.0143295998633174
206.6666666666667,-0.01359669954403431
207.5,-0.01289938302259726
208.3333333333333,-0.01223610514157507
209.1666666666667,-0.01160537886027492
210,-0.01100577382902948
210.8333333333333,-0.01043591494778488
211.6666666666667,-0.009894480913959775
212.5,-0.009380202764167955
213.3333333333333,-0.008891862414039458
214.1666666666667,-0.0084282912000246
215,-0.007988368426739155
215.8333333333333,-0.007571019923094063
216.6666666666667,-0.007175216610151924
217.5,-0.00679997308337249
218.3333333333333,-0.006444346211639007
219.1666666666667,-0.006107433755204169
220,-0.005788373004455422
220.8333333333333,-0.00548633944117422
221.6666666666667,-0.005200545423753138
222.5,-0.004930238897636138
223.3333333333333,-0.004674702132062311
224.1666666666667,-0.00443325048402084
225,-0.004205231190164041
225.8333333333333,-0.003990022187276043
226.6666666666667,-0.003787030961756525
227.5,-0.003595693428450814
228.3333333333333,-0.003415472839039975
229.1666666666667,-0.003245858720096606
230,-0.003086365840812789
230.8333333333333,-0.002936533210315975
231.6666666666667,-0.00279592310440666
232.5,-0.002664120121477361
233.3333333333333,-0.002540730267304526
234.1666666666667,-0.002425380068345339
235,-0.00231771571311735
235.8333333333333,-0.002217402221191143
236.6666666666667,-0.002124122639284025
237.5,-0.002037577263906446
238.3333333333333,-0.001957482889980704
239.1666666666667,-0.001883572084824615
240,-0.001815592486870218
240.8333333333333,-0.00175330612846839
241.6666666666667,-0.001696488782115716
242.5,-0.001644929329427898
243.3333333333333,-0.001598429152175738
244.1666666666667,-0.00155680154469408
245,-0.001519871146971222
245.8333333333333,-0.001487473397725659
246.6666666666667,-0.001459454006778929
247.5,-0.001435668446036899
248.3333333333333,-0.00141598145839734
249.1666666666667,-0.001400266583908956
250,-0.001393386902737362
